Работу выполнил ст. Самозванцев В.А.
x=-0.05; y=0.006359155106491932
x=-0.04; y=0.006359156584567157
x=-0.03; y=0.0063591574811046134
x=-0.02; y=0.006359157941488719
x=-0.01; y=0.006359158111103917
x=0.0; y=0.0063591581353346594
x=0.01; y=0.006359158159565402
x=0.02; y=0.0063591583291806005
x=0.03; y=0.006359158789564716
x=0.04; y=0.0063591596861022155
x=0.05; y=0.006359161164177593
x=0.06; y=0.006359163369175378
x=0.07; y=0.00635916644648016
x=0.08; y=0.00635917054147662
x=0.09; y=0.006359175799549548
x=0.1; y=0.006359182366083894
x=0.11; y=0.006359190386464796
x=0.12; y=0.006359200006077634
x=0.13; y=0.006359211370308072
x=0.14; y=0.00635922462454212
x=0.15; y=0.006359239914166189
